45657551	45712555	1752261	1697830	64444167	1761030	chr20	tig00000003
45714396	45730764	1696266	1680011	64444167	1761030	chr20	tig00000003
45730873	45739247	1680006	1671758	64444167	1761030	chr20	tig00000003
45739247	45771849	1671132	1639474	64444167	1761030	chr20	tig00000003
45773919	45821293	1637885	1591436	64444167	1761030	chr20	tig00000003
45824073	45836328	1588996	1577053	64444167	1761030	chr20	tig00000003
45836575	45847564	1577005	1566324	64444167	1761030	chr20	tig00000003
45851260	45884808	1562751	1529786	64444167	1761030	chr20	tig00000003
45885189	45891173	1529746	1523892	64444167	1761030	chr20	tig00000003
45893634	45896896	1521712	1518536	64444167	1761030	chr20	tig00000003
45897247	45905560	1518435	1510316	64444167	1761030	chr20	tig00000003
45905845	45910778	1510291	1505457	64444167	1761030	chr20	tig00000003
45911651	45933073	1504679	1483545	64444167	1761030	chr20	tig00000003
45933334	45946269	1483504	1470929	64444167	1761030	chr20	tig00000003
45946448	45952205	1470760	1465113	64444167	1761030	chr20	tig00000003
45956613	45985781	1461439	1432826	64444167	1761030	chr20	tig00000003
45986033	46012582	1432813	1406898	64444167	1761030	chr20	tig00000003
46015858	46053874	1403779	1366639	64444167	1761030	chr20	tig00000003
46054513	46130160	1366624	1292242	64444167	1761030	chr20	tig00000003
46130263	46141394	1292238	1281396	64444167	1761030	chr20	tig00000003
46146115	46165399	1277100	1258216	64444167	1761030	chr20	tig00000003
46165887	46206290	1258133	1218494	64444167	1761030	chr20	tig00000003
46206953	46219804	1218181	1205671	64444167	1761030	chr20	tig00000003
46220373	46231907	1205588	1194313	64444167	1761030	chr20	tig00000003
46232042	46236381	1194312	1190038	64444167	1761030	chr20	tig00000003
46236621	46271032	1189968	1156170	64444167	1761030	chr20	tig00000003
46271229	46331793	1156154	1096978	64444167	1761030	chr20	tig00000003
46331975	46348254	1096934	1081029	64444167	1761030	chr20	tig00000003
46348410	46353772	1080855	1075641	64444167	1761030	chr20	tig00000003
46360258	46368604	1069839	1061679	64444167	1761030	chr20	tig00000003
46368800	46377907	1061679	1052768	64444167	1761030	chr20	tig00000003
46378273	46526482	1052725	906431	64444167	1761030	chr20	tig00000003
46527307	46555388	906369	878595	64444167	1761030	chr20	tig00000003
46555518	46562074	878579	872184	64444167	1761030	chr20	tig00000003
46562074	46639044	871672	795851	64444167	1761030	chr20	tig00000003
46639522	46643028	795468	792021	64444167	1761030	chr20	tig00000003
46643363	46656292	791988	779218	64444167	1761030	chr20	tig00000003
46656294	46694818	779117	741154	64444167	1761030	chr20	tig00000003
46694912	46715976	741154	720459	64444167	1761030	chr20	tig00000003
